Class Name,Nose,LeftEye,RightEye,LeftEar,RightEar,LeftShoulder,RightShoulder,LeftElbow,RightElbow,LeftWrist,RightWrist,LeftHip,RightHip,LeftKnee,RightKnee,LeftAnkle,RightAnkle
Boat,0.67326692362069,0.70238078375,0.687616840862069,0.696146129137931,0.662962486853448,0.712317040086207,0.703481503448276,0.590193382909483,0.558208912543103,0.490633217431034,0.495198869275862,0.699554065,0.66691414262931,0.564971127887931,0.53316793212931,0.557523383137931,0.504412884771552
Tortoise,0.431109833331034,0.475382141241379,0.480100897165517,0.498724223482759,0.470132034524138,0.507398686965517,0.441469022593104,0.374181597903448,0.379301707634483,0.386501780455172,0.415744047827586,0.489442666924138,0.490464971248276,0.459693082117241,0.440981614006896,0.369724238565517,0.395586494958621
Cobra,0.679335224904051,0.677964058763325,0.684882536609808,0.707078324136461,0.703914587547974,0.756159354584221,0.748925542835822,0.654441511733475,0.673421262558635,0.658074095479744,0.65857264280597,0.736372998763326,0.717437992857142,0.67726197140725,0.631492624993604,0.665022479253731,0.64906261882516
Scorpion,0.5432460963125,0.5514095289125,0.551065233625,0.5776517906,0.5276480063875,0.600751561625,0.56247432786875,0.55341644255625,0.54642809534375,0.492558384275,0.50226750605625,0.581246688,0.5720971044,0.62471121495625,0.6103352024125,0.499510168375,0.52440731688125
Side_Plank,0.645679030456604,0.678961797962264,0.684931906716981,0.664471928113208,0.679959008566038,0.729265056037735,0.739605684543396,0.713293258671698,0.738249697245283,0.742951157203774,0.723796043803774,0.733608555833962,0.745986510075472,0.695771634316981,0.691142108566038,0.625183561849056,0.668478641320754
Wind_Relieving,0.6076285757,0.6423098715,0.6376114185,0.6762544796,0.6341209201,0.6781659048,0.6195888758,0.512502068,0.4912937469,0.4655324714,0.4665936934,0.6198893641,0.6332711643,0.55353502445,0.5018410333,0.57948622931,0.57944665609
Wide-Legged_Forward_Bend,0.445615189893048,0.515052028342246,0.509865687967915,0.589254755240642,0.545901966684492,0.674868322139037,0.637292088716578,0.601674254663101,0.606514012673797,0.588437336951871,0.596503117433155,0.717547953529412,0.718759091336899,0.642322473048128,0.623047277219251,0.585896546625668,0.616509804631016
Cow_Face,0.608641496666667,0.675734933654971,0.665374861754386,0.662817133918129,0.632456068187135,0.714177319508772,0.709728699964913,0.613305029397661,0.629171696321637,0.367438422298246,0.359641074052632,0.683915581052632,0.665938825356725,0.48581523774269,0.508643090520468,0.542338322274854,0.560027847105263
Supta_Virasana,0.551845447955801,0.570641761104972,0.566486470718232,0.584904037071823,0.583142061436464,0.591763999226519,0.555089285469614,0.410828774370166,0.497780724701658,0.393822324839779,0.442294304872928,0.604947917955802,0.584990244917127,0.58622248537569,0.581280391480663,0.37480066861326,0.438194769060773
Revolved_Head-to-Knee,0.512401078963636,0.547504359866667,0.514818989515151,0.562917965939394,0.533434234060606,0.6228011688,0.580725215890909,0.658578367963636,0.696225281927273,0.600468761612121,0.639350190845455,0.694343118606061,0.701700337878788,0.631762740842425,0.619473431363637,0.591755038151515,0.585277724975758
